"","FirstName","LastName","Team","GP","GS","AVG","OPS","AB","R","H","X2B","X3B","HR","RBI","TB","SLG","BB","HBP","SO","GDP","OBP","SF","SH","SB","SB_ATT"
"641","KENDALL","PETTIS","Oklahoma","56","55",0.317,0.835,186,51,59,6,3,1,24,74,0.398,36,9,38,2,0.437,7,4,"18","24"
"642","CHASE","ADKISON","Oklahoma State","55","54",0.316,0.904,187,46,59,9,1,7,44,91,0.487,26,8,38,6,0.417,2,4,"4","5"
"643","HUDSON","WHITE","Texas Tech","49","44",0.314,0.989,169,40,53,11,0,11,54,97,0.574,28,4,30,3,0.415,4,0,"2","3"
"644","CHASE","JANS","Kansas","53","50",0.314,0.917,207,36,65,13,1,10,50,110,0.531,23,5,60,3,0.386,6,0,"7","7"
"645","BRYCE","MADRON","Oklahoma","62","62",0.313,1.032,227,58,71,15,3,12,51,128,0.564,62,8,39,2,0.468,4,0,"15","21"
"646","LANDON","WALLACE","West Virginia","59","58",0.312,1.013,199,46,62,11,3,11,49,112,0.563,37,14,54,3,0.45,1,7,"17","19"
"647","DAVID","MENDHAM","Oklahoma State","60","60",0.311,0.921,244,51,76,17,0,14,63,135,0.553,19,4,27,7,0.368,2,0,"1","1"
"648","TRE","RICHARDSON","TCU","68","68",0.311,0.844,270,58,84,16,2,6,60,122,0.452,28,11,50,2,0.392,5,7,"25","29"
"649","HUNTER","TEPLANSZKY","Baylor","47","46",0.308,0.906,172,34,53,11,2,6,34,86,0.5,20,11,39,6,0.406,4,3,"3","5"
"650","BRAYDEN","TAYLOR","TCU","67","67",0.308,1.061,260,77,80,15,0,23,70,164,0.631,54,4,60,1,0.43,3,0,"14","14"
"651","EASTON","CARMICHAEL","Oklahoma","53","49",0.308,0.833,201,28,62,9,4,6,52,97,0.483,14,2,45,5,0.35,6,2,"4","6"
"652","KENNEDY","ERIC","Texas","63","63",0.306,0.966,245,57,75,14,2,17,47,144,0.588,18,11,58,1,0.378,1,6,"9","12"
"653","ANTHONY","MACKENZIE","Oklahoma","62","62",0.299,0.83,251,54,75,9,2,6,42,106,0.422,40,9,55,4,0.408,4,2,"21","25"
"654","GUILLEMETTE","GARRET","Texas","64","62",0.298,0.942,218,43,65,18,1,11,60,118,0.541,34,8,52,5,0.401,7,3,"0","1"
"655","MICHAEL","BROOKS","Kansas","54","54",0.298,0.897,198,42,59,15,1,8,34,100,0.505,25,7,39,3,0.392,2,2,"2","2"
"656","HUNTER","SIMMONS","Baylor","44","42",0.297,0.804,158,23,47,7,1,4,34,68,0.43,13,8,33,4,0.374,3,0,"0","2"
"657","CASH","RUGELY","Kansas State","58","56",0.297,0.883,202,50,60,9,1,7,36,92,0.455,43,4,56,3,0.428,1,5,"14","18"
"658","CALEB","MCNEELY","West Virginia","57","57",0.296,0.981,216,48,64,14,3,13,49,123,0.569,39,7,55,3,0.412,5,2,"16","19"
"659","AUSTIN","GREEN","Texas Tech","60","59",0.29,0.964,221,57,64,14,2,13,60,121,0.548,42,11,41,0,0.416,7,0,"0","0"
"660","BRADEN","BARRY","West Virginia","60","60",0.29,0.894,231,57,67,19,4,8,44,118,0.511,33,5,55,2,0.383,5,7,"24","27"
"661","ELIJAH","NUNEZ","TCU","63","62",0.289,0.814,239,59,69,17,2,3,36,99,0.414,36,9,60,1,0.4,1,4,"20","22"
"662","ROCCO","GARZA-GONGORA","Oklahoma","52","44",0.289,0.76,166,29,48,6,1,3,27,65,0.392,15,8,45,5,0.368,4,1,"4","6"
"663","MIKE","KOSZEWSKI","Kansas","53","43",0.286,0.804,161,25,46,13,2,0,19,63,0.391,30,5,28,3,0.413,0,5,"7","7"
"664","NICK","GOODWIN","Kansas State","59","59",0.285,0.905,221,46,63,10,2,12,57,113,0.511,36,9,37,2,0.394,8,0,"13","17"
"665","O'DOWD","JACK","Texas","64","63",0.284,0.794,222,34,63,13,2,6,37,98,0.441,23,2,43,6,0.353,2,5,"1","1"
"666","AUSTIN","DAVIS","TCU","68","68",0.283,0.847,247,48,70,19,0,9,57,116,0.47,35,7,47,2,0.377,8,6,"22","27"
"667","COLE","POSEY","Baylor","53","47",0.279,0.788,179,31,50,11,0,3,17,70,0.391,23,12,53,2,0.397,0,2,"3","6"
"668","JANSON","REEDER","Kansas","54","52",0.276,0.929,199,36,55,16,2,12,45,111,0.558,21,10,51,0,0.371,2,0,"6","8"
"669","JOHN","SPIKERMAN","Oklahoma","62","61",0.276,0.805,228,45,63,14,1,3,33,88,0.386,51,7,55,5,0.419,3,3,"28","32"
"670","COLE","JOHNSON","Kansas State","59","59",0.274,0.82,219,43,60,14,0,9,48,101,0.461,25,5,45,6,0.359,2,3,"12","19"
"671","MARCUS","BROWN","Oklahoma State","59","59",0.272,0.828,206,40,56,10,2,9,35,97,0.471,13,16,40,4,0.357,3,2,"3","5"
"672","TRACER","LOPEZ","Texas Tech","56","50",0.269,0.735,182,37,49,6,2,4,31,71,0.39,22,0,57,0,0.345,2,2,"3","3"
"673","COLE","ELVIS","Kansas","57","57",0.269,0.834,234,36,63,16,0,14,52,121,0.517,16,3,74,5,0.317,6,0,"0","1"
"674","LOGAN","SUAVE","West Virginia","52","43",0.267,0.811,146,31,39,9,0,4,24,60,0.411,23,10,40,5,0.4,1,1,"2","2"
"675","DAYNE","LEONARD","West Virginia","60","60",0.265,0.772,223,44,59,13,0,4,48,84,0.377,31,19,46,8,0.395,3,3,"4","5"
"676","ELLIS","GARCIA","West Virginia","53","45",0.26,0.752,169,24,44,12,0,3,27,65,0.385,23,6,20,3,0.367,1,0,"3","4"
"677","RAPHAEL","PELLETIER","Kansas State","57","53",0.257,0.719,183,30,47,5,0,6,28,70,0.383,22,2,45,4,0.336,4,3,"2","2"
"678","GRANT","HUSSEY","West Virginia","55","51",0.254,0.945,181,36,46,12,0,14,46,100,0.552,31,11,72,2,0.393,1,0,"0","0"
"679","COLLIER","CRANFORD","Kansas","50","49",0.251,0.738,187,31,47,10,2,6,28,79,0.422,13,5,34,4,0.316,1,0,"4","5"
"680","ROBERTO","PENA","Kansas State","59","59",0.248,0.892,206,45,51,14,1,15,58,112,0.544,30,5,81,2,0.348,6,0,"9","9"
"681","GAVIN","BRZOZOWSKI","Baylor","50","39",0.247,0.764,146,24,36,3,2,5,20,58,0.397,25,4,40,1,0.367,2,1,"2","3"
"682","SAM","WHITE","West Virginia","50","38",0.246,0.753,138,23,34,7,1,4,23,55,0.399,20,4,36,5,0.354,2,1,"0","0"
"683","WALLACE","CLARK","Oklahoma","49","43",0.238,0.739,143,27,34,8,2,1,18,49,0.343,33,5,34,2,0.396,1,3,"4","5"
"684","BRENDAN","JONES","Kansas State","59","59",0.238,0.787,223,52,53,12,3,7,31,92,0.413,45,4,58,2,0.374,1,2,"28","33"
"685","JOHN","CECCOLI","Baylor","47","42",0.234,0.744,145,24,34,7,0,5,18,56,0.386,22,7,41,1,0.358,2,0,"2","2"
"686","DALY","MITCHELL","Texas","61","53",0.231,0.726,186,29,43,9,1,7,22,75,0.403,27,0,48,4,0.323,4,5,"4","7"
"687","LUKE","BOYERS","TCU","58","46",0.231,0.806,173,42,40,7,1,7,27,70,0.405,38,11,63,1,0.401,0,3,"7","8"
"688","JACKSON","NICKLAUS","Oklahoma","61","61",0.229,0.78,205,42,47,9,3,6,39,80,0.39,52,6,84,0,0.39,6,1,"9","11"
"689","CALEB","BERGMAN","Baylor","45","27",0.223,0.553,94,16,21,3,0,0,12,24,0.255,8,2,29,1,0.298,0,5,"0","1"
"690","JAKE","ENGLISH","Kansas","49","44",0.219,0.789,160,25,35,4,1,10,22,71,0.444,32,0,36,2,0.345,2,1,"0","0"
"691","STAUS","POKROVSKY","Seton Hall","4","4",0.471,1.609,17,6,8,1,0,3,5,18,1.059,2,1,5,0,0.55,0,0,"0","0"
"692","MICHAEL","WHOOLEY","Villanova","6","6",0.435,0.915,23,3,10,0,0,0,5,10,0.435,2,0,7,1,0.48,0,0,"0","0"
"693","DEVIN","HACK","Seton Hall","6","6",0.435,1.045,23,3,10,3,0,0,4,13,0.565,2,0,3,0,0.48,0,1,"3","3"
"694","MAX","VIERA","Seton Hall","5","5",0.4,1.008,20,3,8,3,0,0,7,11,0.55,3,0,4,0,0.458,1,0,"1","2"
"695","RYAN","DANIELS","UConn","14","8",0.387,1.146,31,8,12,2,1,1,13,19,0.613,9,3,7,0,0.533,2,0,"4","5"
"696","ALEX","CLYDE","Seton Hall","6","6",0.385,0.792,26,2,10,0,0,0,2,10,0.385,1,0,3,1,0.407,0,0,"0","0"
"697","JOEY","URBAN","Butler","15","15",0.375,1.132,64,14,24,7,2,3,14,44,0.688,7,1,17,0,0.444,0,0,"1","1"
"698","NOLAN","SAILORS","Creighton","12","12",0.367,1.048,49,15,18,5,2,1,12,30,0.612,4,2,14,2,0.436,0,1,"1","1"
"699","DAVID","SMITH","UConn","18","18",0.366,1.024,71,17,26,7,1,1,9,38,0.535,15,2,16,0,0.489,0,1,"11","12"
"700","STERLING","HAYES","Creighton","12","11",0.366,0.932,41,4,15,4,0,0,5,19,0.463,6,2,11,0,0.469,0,0,"0","0"
"701","UBALDO","LOPEZ","Georgetown","56","56",0.333,1.163,201,56,67,12,0,20,55,139,0.692,40,13,53,1,0.471,1,0,"1","1"
"702","CARTER","DORIGHI","Butler","15","15",0.333,0.784,63,15,21,2,0,0,9,23,0.365,9,1,8,2,0.419,1,0,"4","5"
"703","SCOTT","JONES","Butler","13","11",0.333,0.856,42,8,14,1,1,0,8,17,0.405,7,2,5,2,0.451,0,0,"2","2"
"704","MARTY","HIGGINS","St. John's","3","3",0.333,0.788,9,1,3,0,0,0,0,3,0.333,2,0,0,0,0.455,0,0,"0","1"
"705","ANDREW","WALKER","Xavier","19","19",0.329,0.86,79,19,26,4,0,2,7,36,0.456,10,0,10,1,0.404,0,1,"9","10"
"706","KOLLYN","ALL","Butler","14","10",0.326,1.025,43,7,14,6,0,2,14,26,0.605,4,3,11,0,0.42,0,3,"2","2"
"707","JACK","GRACE","Creighton","12","11",0.325,0.961,40,4,13,1,0,3,8,23,0.575,4,0,17,0,0.386,0,0,"1","1"
"708","KOREY","MORTON","UConn","19","19",0.322,0.936,59,19,19,6,0,1,7,28,0.475,10,6,14,0,0.461,1,3,"5","7"
"709","JAKE","HYDE","Georgetown","57","57",0.32,0.998,222,44,71,12,2,16,56,135,0.608,20,8,53,2,0.39,4,0,"3","4"
"710","TYLER","LOZANO","Creighton","12","12",0.319,1.008,47,8,15,4,1,3,18,30,0.638,5,0,9,2,0.37,2,0,"0","1"
"711","XAVIER","CARTER","Butler","13","9",0.313,0.851,32,6,10,2,0,0,2,12,0.375,8,2,10,0,0.476,0,0,"1","2"
"712","JAKE","STUDLEY","UConn","19","19",0.303,0.871,76,16,23,2,0,4,15,37,0.487,8,2,21,2,0.384,0,0,"1","2"
"713","TYLER","DEMARTINO","Xavier","13","13",0.294,0.928,51,8,15,2,1,3,9,28,0.549,4,3,9,0,0.379,0,0,"0","0"
"714","MARK","MCNELLY","Seton Hall","5","5",0.294,0.804,17,3,5,1,1,0,3,8,0.471,1,0,9,0,0.333,0,0,"0","0"
"715","DAVID","GLANCY","St. John's","4","4",0.294,0.98,17,2,5,0,0,2,6,11,0.647,1,0,7,0,0.333,0,0,"0","0"
"716","MICHAEL","EZE","Georgetown","57","57",0.29,0.916,217,51,63,14,1,10,32,109,0.502,35,11,54,2,0.414,0,0,"18","19"
"717","MATT","MCCORMICK","Xavier","18","18",0.29,0.9,62,9,18,2,0,3,14,29,0.468,12,5,13,0,0.432,2,0,"1","1"
"718","OWEN","CARAPELLOTTI","Georgetown","57","57",0.289,0.936,225,53,65,8,2,16,44,125,0.556,24,11,41,2,0.38,3,0,"0","0"
"719","DOMINIC","FREEBERGER","UConn","19","19",0.289,0.777,76,14,22,2,0,2,13,30,0.395,9,3,9,2,0.382,1,1,"2","3"
"720","BILLY","WURCH","Butler","13","8",0.286,0.696,28,6,8,1,0,0,3,9,0.321,3,1,13,0,0.375,0,2,"0","0"
"721","SHANE","SOLARI","Villanova","6","6",0.286,0.781,21,2,6,2,0,0,1,8,0.381,3,1,7,0,0.4,0,0,"0","0"
"722","JONATHAN","LUDERS","Seton Hall","6","6",0.286,0.75,21,7,6,0,0,0,3,6,0.286,4,3,0,0,0.464,0,0,"0","0"
"723","AUSTIN","KRETZSCHMAR","Georgetown","56","56",0.284,0.831,211,39,60,11,1,9,46,100,0.474,24,3,36,2,0.357,6,8,"3","3"
"724","MATTHEW","DEPREY","Xavier","19","19",0.278,0.795,79,14,22,1,0,4,10,35,0.443,6,4,21,2,0.352,2,0,"0","0"
"725","JARED","CUSHING","Xavier","19","19",0.276,0.681,76,5,21,1,0,2,12,28,0.368,4,1,15,0,0.313,2,0,"1","1"
"726","JEDIER","HERNANDEZ","Seton Hall","6","6",0.273,0.619,22,1,6,0,0,0,4,6,0.273,3,0,2,0,0.346,1,0,"0","0"
"727","ANTHONY","BRIENZA","St. John's","3","3",0.273,0.702,11,2,3,0,0,0,0,3,0.273,1,2,4,0,0.429,0,0,"0","0"
"728","CHRISTIAN","FICCA","Georgetown","57","56",0.271,0.8,203,33,55,9,0,8,34,88,0.433,30,3,41,4,0.367,4,2,"3","3"
"729","TATE","GILLEN","Creighton","11","9",0.267,0.633,30,5,8,1,0,0,2,9,0.3,0,3,7,1,0.333,0,1,"0","0"
"730","PAUL","COOKE","Villanova","6","6",0.267,0.917,15,4,4,0,0,1,4,7,0.467,5,0,6,0,0.45,0,1,"0","0"
"731","OSCAR","MURRAY","Seton Hall","6","4",0.267,0.85,15,5,4,2,0,0,2,6,0.4,4,1,5,0,0.45,0,1,"1","1"
"732","PAT","D'AMICO","Seton Hall","6","6",0.261,0.718,23,3,6,2,0,0,3,8,0.348,4,0,8,0,0.37,0,0,"0","0"
"733","MATT","GARBOWSKI","UConn","18","16",0.26,0.743,50,5,13,2,0,1,6,18,0.36,10,0,10,2,0.383,0,2,"0","0"
"734","BEN","HUBER","UConn","16","16",0.246,0.907,65,10,16,3,0,6,22,37,0.569,8,1,21,5,0.338,0,0,"1","1"
"735","CODY","BOWKER","Georgetown","40","30",0.242,0.724,91,11,22,5,2,2,17,37,0.407,5,5,36,2,0.317,0,1,"2","4"
"736","GRANT","STEPHENSON","Xavier","17","17",0.236,0.699,55,7,13,2,0,2,9,21,0.382,6,1,9,0,0.317,1,0,"2","2"
"737","CARTER","HENDRICKSON","Xavier","18","17",0.236,0.744,55,10,13,2,0,1,4,18,0.327,12,5,15,0,0.417,0,1,"1","1"
"738","AARON","MANN","St. John's","4","4",0.235,0.47,17,1,4,0,0,0,0,4,0.235,0,0,3,0,0.235,0,0,"0","0"
"739","ANDREW","BERGERON","Georgetown","38","27",0.234,0.648,94,12,22,3,2,1,10,32,0.34,7,3,36,1,0.308,0,3,"2","3"
"740","HOGAN","HELLIGSO","Creighton","11","8",0.233,0.614,30,4,7,3,0,0,3,10,0.333,1,1,8,2,0.281,0,1,"1","1"
"741","JAKE","DEFRIES","Butler","15","14",0.222,0.751,54,12,12,3,2,1,8,22,0.407,9,1,14,1,0.344,0,1,"3","4"
"742","RYAN","O'HALLORAN","Butler","11","9",0.219,0.73,32,5,7,3,0,1,5,13,0.406,5,0,4,0,0.324,0,1,"0","0"
"743","JACK","HOUSINGER","Xavier","19","19",0.218,0.786,78,13,17,2,2,4,14,35,0.449,9,5,22,1,0.337,0,1,"1","4"
"744","KYLE","VAN LIERE","Butler","10","7",0.217,0.683,23,5,5,2,0,0,3,7,0.304,4,2,7,0,0.379,0,0,"1","1"
"745","AJ","HANSEN","Villanova","6","6",0.217,0.596,23,3,5,0,0,0,0,5,0.217,6,0,8,0,0.379,0,1,"1","2"
"746","AUSTIN","MACHADO","St. John's","4","4",0.214,0.639,14,1,3,1,0,0,1,4,0.286,1,2,3,0,0.353,0,0,"0","0"
"747","JIMMY","KEENAN","St. John's","4","4",0.214,0.91,14,3,3,0,0,2,4,9,0.643,0,1,5,2,0.267,0,1,"0","0"
"748","GARRET","GRAY","Butler","12","11",0.211,0.637,38,7,8,3,0,0,6,11,0.289,6,2,12,1,0.348,0,0,"0","0"
"749","CRAIG","LARSEN","Villanova","6","6",0.2,0.539,25,3,5,2,0,0,6,7,0.28,2,0,5,1,0.259,0,1,"0","0"
"750","WILL","REINER","Villanova","5","3",0.2,0.729,10,4,2,0,0,0,0,2,0.2,6,1,2,0,0.529,0,0,"0","0"
"751","LUKE","BROADHURST","UConn","19","18",0.194,0.792,67,11,13,3,0,5,12,31,0.463,12,2,19,1,0.329,1,0,"2","3"
"752","ANDREW","MEGGS","Creighton","12","12",0.186,0.549,43,9,8,1,0,0,3,9,0.209,8,2,5,3,0.34,0,5,"3","3"
"753","BRYAN","PADILLA","UConn","19","19",0.182,0.538,66,9,12,2,0,1,11,17,0.258,9,0,14,5,0.28,0,3,"3","3"
"754","NOLAN","CLIFFORD","Creighton","12","12",0.182,0.657,44,9,8,3,0,1,8,14,0.318,9,2,10,2,0.339,1,0,"1","1"
"755","JACK","O'REILLY","Villanova","6","6",0.174,0.519,23,5,4,0,0,0,2,4,0.174,3,3,7,0,0.345,0,0,"1","1"
"756","STEVE","GROBER","Villanova","6","6",0.174,0.425,23,2,4,1,0,0,2,5,0.217,1,0,4,1,0.208,0,1,"0","0"
"757","WILL","GALE","Seton Hall","4","3",0.154,0.467,13,2,2,0,0,0,1,2,0.154,3,0,0,0,0.313,0,0,"2","2"
"758","LUKAS","GALDONI","Butler","10","9",0.111,0.638,18,5,2,0,0,1,5,5,0.278,7,0,13,0,0.36,0,0,"1","1"
"759","DOMINIC","MILANO","Butler","11","7",0.107,0.349,28,4,3,0,0,0,2,3,0.107,5,0,9,0,0.242,0,0,"0","0"
"760","BEN","GBUR","Creighton","9","5",0.1,0.432,20,2,2,0,0,1,1,5,0.25,1,1,5,0,0.182,0,0,"1","1"
"761","JOHN","WHOOLEY","Villanova","4","4",0.091,0.468,11,1,1,1,0,0,3,2,0.182,3,0,1,0,0.286,0,0,"0","0"
"762","JACE","JEREMIAH","St. John's","4","4",0.091,0.349,11,0,1,1,0,0,0,2,0.182,1,0,6,1,0.167,0,1,"0","0"
"763","TATE","BALLESTERO","St. John's","4","4",0.067,0.243,15,0,1,0,0,0,0,1,0.067,1,1,4,1,0.176,0,0,"0","0"
"764","BEN","NORTH","Creighton","12","11",0.057,0.336,35,6,2,1,0,0,1,3,0.086,4,5,13,0,0.25,0,0,"0","0"
"765","ROBBIE","BURNETT","UNC Asheville","38","38",0.379,1.245,145,48,55,10,3,13,35,110,0.759,24,7,30,0,0.486,1,0,"11","12"
"766","TYLER","HALSTEAD","Campbell","58","58",0.376,0.978,237,64,89,15,4,4,38,124,0.523,24,14,30,1,0.455,4,5,"32","36"
"767","LAWSON","HARRILL","Campbell","58","58",0.371,1.236,213,61,79,17,0,22,69,162,0.761,31,15,63,2,0.475,4,1,"6","6"
"768","CURTIS","ROBISON","Gardner-Webb","55","55",0.362,0.988,218,54,79,16,4,4,42,115,0.528,30,11,29,5,0.46,2,0,"20","21"
"769","BRODY","FAHR","Presbyterian","54","53",0.361,0.962,202,35,73,12,3,4,34,103,0.51,31,4,35,4,0.452,2,1,"5","6"
"770","JAYLIN","RAE","Charleston Southern","48","47",0.352,0.896,176,35,62,10,1,2,30,80,0.455,19,12,27,0,0.441,4,5,"5","8"
"771","ELIOT","DIX","Longwood","53","53",0.347,0.941,199,39,69,13,0,6,32,100,0.503,24,10,25,0,0.438,2,0,"7","11"
"772","DYLAN","BACOT","UNC Asheville","52","52",0.337,0.999,202,51,68,18,0,9,59,113,0.559,28,13,33,7,0.44,5,0,"6","7"
"773","GRANT","SHERROD","USC Upstate","60","57",0.335,1.054,224,47,75,14,3,15,66,140,0.625,34,5,50,9,0.429,3,1,"8","9"
"774","BRETT","AHALT","High Point","49","49",0.333,0.943,198,41,66,8,0,11,32,107,0.54,19,6,56,3,0.403,3,2,"13","19"
"775","MAX","WELLER","Campbell","43","31",0.331,0.975,121,42,40,9,0,4,25,61,0.504,26,7,33,4,0.471,1,1,"9","11"
"776","GREGORY","RYAN","Longwood","54","54",0.327,1.029,202,41,66,14,5,13,63,129,0.639,20,3,47,0,0.39,3,0,"8","9"
"777","JARROD","BELBIN","Campbell","61","61",0.327,1.087,251,75,82,15,3,21,68,166,0.661,40,11,54,5,0.426,10,0,"25","26"
"778","KIERAN","DAVIS","Charleston Southern","39","31",0.327,0.967,104,22,34,8,0,5,24,57,0.548,16,4,24,4,0.419,5,3,"2","3"
"779","TROY","HAMILTON","USC Upstate","48","46",0.324,0.858,179,38,58,7,1,5,38,82,0.458,22,4,39,1,0.4,5,5,"8","9"
"780","ZACK","WHITACRE","Radford","53","53",0.322,0.897,208,41,67,12,2,7,33,104,0.5,27,0,28,4,0.397,2,1,"12","21"
"781","CAEL","CHATHAM","High Point","54","54",0.321,0.977,212,48,68,15,0,13,43,122,0.575,28,2,35,8,0.402,2,2,"6","6"
"782","BRYCE","ARNOLD","Campbell","59","58",0.321,1.05,246,60,79,19,4,17,65,157,0.638,33,7,46,1,0.412,3,1,"7","10"
"783","MCKINLEY","ERVES","Winthrop","52","52",0.32,0.881,197,41,63,15,0,4,28,90,0.457,31,7,38,4,0.424,3,2,"7","10"
"784","COLE","CARUSO","USC Upstate","60","60",0.319,0.846,232,45,74,15,0,3,39,98,0.422,41,3,34,4,0.424,2,5,"4","8"
"785","RICKY","TEEL","Winthrop","43","42",0.315,0.724,178,31,56,7,1,0,17,65,0.365,8,6,14,2,0.359,3,6,"4","5"
"786","KOHL","ABRAMS","UNC Asheville","52","52",0.314,0.882,191,51,60,10,2,4,26,86,0.45,30,11,31,3,0.432,2,0,"7","8"
"787","JACE","RINEHART","USC Upstate","42","33",0.31,0.931,129,32,40,8,0,7,32,69,0.535,17,4,36,0,0.396,4,0,"3","5"
"788","JACOB","MARCOS","Gardner-Webb","56","56",0.309,0.729,236,49,73,7,0,0,13,80,0.339,16,15,38,4,0.39,0,11,"11","15"
"789","CHANDLER","RILEY","Campbell","52","43",0.309,0.934,152,43,47,6,1,4,25,67,0.441,48,7,42,2,0.493,0,4,"8","10"
"790","JARED","PAYNE","Charleston Southern","36","27",0.308,0.847,91,12,28,7,0,0,16,35,0.385,12,15,14,4,0.462,1,8,"1","2"
"791","JONATHAN","STRAUSS","Winthrop","51","44",0.306,0.91,170,33,52,13,2,7,43,90,0.529,19,4,48,5,0.381,4,0,"2","3"
"792","JAMES","NELSON","Longwood","45","30",0.305,0.877,118,18,36,7,0,5,19,58,0.492,11,5,26,1,0.385,1,1,"3","4"
"793","EASTON","CULLISON","USC Upstate","51","45",0.302,0.788,172,36,52,14,0,0,25,66,0.384,23,9,28,1,0.404,4,3,"25","30"
"794","JOSEPH","SVETITZ","Winthrop","47","46",0.302,0.705,182,31,55,4,2,1,25,66,0.363,10,3,36,1,0.342,4,5,"14","17"
"795","LOGAN","JORDAN","Campbell","56","52",0.301,0.923,206,46,62,11,0,12,52,109,0.529,13,20,37,5,0.394,2,1,"1","1"
"796","ADAM","STUART","High Point","54","54",0.3,0.846,210,38,63,10,0,7,34,94,0.448,30,4,31,3,0.398,0,1,"5","8"
"797","CORBIN","LANOWITZ","UNC Asheville","51","51",0.299,0.702,211,30,63,9,0,0,35,72,0.341,18,3,33,4,0.361,1,2,"6","9"
"798","JACK","GORMAN","Presbyterian","54","54",0.299,0.859,197,37,59,16,2,3,27,88,0.447,26,15,46,2,0.412,5,2,"10","12"
"799","NATE","ANDERSON","Gardner-Webb","55","54",0.298,0.883,198,39,59,15,2,7,38,99,0.5,24,7,34,1,0.383,6,4,"23","25"
"800","TY","HOOKS","Winthrop","41","33",0.295,0.702,122,17,36,3,0,1,20,42,0.344,13,0,16,2,0.358,2,2,"0","0"
"801","PATRICK","MATTHEWS","High Point","48","43",0.289,0.738,152,32,44,6,0,0,15,50,0.329,22,10,28,4,0.409,2,5,"10","12"
"802","WILL","MARTIN","Winthrop","47","45",0.289,0.725,152,22,44,4,0,0,11,48,0.316,29,3,22,2,0.409,2,4,"3","6"
"803","BRODY","HOPKINS","Winthrop","48","45",0.288,0.906,160,30,46,7,3,9,39,86,0.538,16,5,52,2,0.368,1,3,"9","11"
"804","MICHAEL","GROVES","UNC Asheville","51","50",0.283,0.896,187,48,53,7,1,11,35,95,0.508,31,3,46,3,0.388,3,0,"1","3"
"805","DANIEL","GERNON","USC Upstate","58","53",0.283,0.91,187,56,53,8,2,9,36,92,0.492,30,16,51,2,0.418,4,3,"15","15"
"806","ERNESTO","POLANCO","Charleston Southern","40","33",0.283,0.762,106,19,30,5,0,3,13,44,0.415,9,2,23,1,0.347,1,4,"2","3"
"807","MARK","BLACK","Gardner-Webb","53","48",0.281,0.827,185,41,52,7,0,7,35,80,0.432,30,6,25,4,0.395,2,0,"5","5"
"808","ALEC","BURNS","Gardner-Webb","47","47",0.279,0.922,172,39,48,11,0,9,35,86,0.5,29,15,70,2,0.422,2,0,"2","2"
"809","LUIS","DELEON","Longwood","46","41",0.279,0.81,147,22,41,12,2,4,26,69,0.469,9,6,33,0,0.341,2,1,"9","9"
"810","JULIAN","ROJAS","Radford","49","49",0.278,0.879,169,25,47,13,0,7,36,81,0.479,24,13,47,1,0.4,4,0,"3","4"
"811","GRANT","KNIPP","Campbell","55","53",0.278,0.986,180,44,50,12,1,13,55,103,0.572,30,14,48,2,0.414,3,6,"9","9"
"812","JAVON","FIELDS","High Point","54","54",0.276,0.818,203,37,56,15,1,4,24,85,0.419,35,8,44,2,0.399,2,2,"24","26"
"813","KYLE","HENINGTON","USC Upstate","53","40",0.275,0.798,142,43,39,9,1,1,19,53,0.373,29,11,34,0,0.425,4,1,"9","12"
"814","RAMSES","CORDOVA","Winthrop","55","55",0.274,0.648,219,23,60,10,0,3,38,79,0.361,5,1,61,2,0.287,5,3,"3","6"
"815","DRAKE","PIERSON","Campbell","51","51",0.272,1.003,184,51,50,12,0,14,49,104,0.565,36,19,54,2,0.438,1,0,"3","5"
"816","PAYTON","HOWARD","Campbell","46","14",0.271,0.786,70,28,19,1,1,1,11,25,0.357,16,4,17,1,0.429,1,1,"18","19"
"817","AUSTIN","STALKER","Radford","38","25",0.27,0.772,111,21,30,5,0,3,15,44,0.396,17,3,32,2,0.376,2,0,"7","9"
"818","TY","TILSON","USC Upstate","43","29",0.267,0.746,120,17,32,6,2,2,25,48,0.4,11,4,27,0,0.346,1,1,"4","7"
"819","DAVID","PEREIRA","USC Upstate","48","42",0.261,0.742,134,24,35,6,1,3,33,52,0.388,16,7,17,2,0.354,7,8,"5","7"
"820","TY","KAUFMAN","UNC Asheville","47","47",0.259,0.673,193,47,50,8,2,0,28,62,0.321,29,1,27,3,0.352,4,3,"14","18"
"821","HAYDEN","HARRIS","Longwood","51","50",0.259,0.774,185,34,48,11,1,5,23,76,0.411,23,7,34,1,0.363,0,3,"3","3"
"822","HUMBERTO","TORRES","Gardner-Webb","43","42",0.258,0.839,151,26,39,8,0,9,23,74,0.49,17,4,32,1,0.349,0,1,"1","1"
"823","CHANDLER","TUUOP","Charleston Southern","45","33",0.258,0.776,124,18,32,3,0,7,33,56,0.452,9,4,27,3,0.324,2,0,"0","1"
"824","TONY","CASTONGUAY","UNC Asheville","42","42",0.257,0.704,144,22,37,9,0,2,25,52,0.361,10,10,35,1,0.343,2,5,"4","4"
"825","RYAN","OUZTS","Presbyterian","46","38",0.256,0.838,133,23,34,7,0,6,17,59,0.444,26,5,48,3,0.394,1,0,"0","2"
"826","TRENTON","PALLAS","High Point","37","23",0.256,0.634,86,14,22,3,0,0,6,25,0.291,8,4,24,1,0.343,1,1,"3","4"
