"","FirstName","LastName","Team","GP","GS","AVG","OPS","AB","R","H","X2B","X3B","HR","RBI","TB","SLG","BB","HBP","SO","GDP","OBP","SF","SH","SB","SB_ATT"
"358","BARNUM","LEWIS","Bryant","40","37",0.281,0.9,128,31,36,9,2,5,35,64,0.5,19,7,43,1,0.4,1,1,"6","8"
"359","LUKE","LONGO","NJIT","50","50",0.279,0.986,190,46,53,13,0,16,36,114,0.6,23,12,44,3,0.386,3,0,"0","0"
"360","ROBERT","GALLAGHER","UMass Lowell","51","49",0.278,0.827,158,46,44,8,1,2,23,60,0.38,29,20,48,2,0.447,1,3,"16","21"
"361","RYAN","PROTO","UMass Lowell","49","46",0.277,0.716,177,30,49,15,0,1,26,67,0.379,16,1,35,4,0.337,2,2,"3","5"
"362","ALEX","LUCCINI","UMass Lowell","52","45",0.274,0.759,175,32,48,6,3,3,37,69,0.394,18,8,56,0,0.365,2,0,"6","11"
"363","MYLES","SARGENT","Maine","45","39",0.273,0.778,161,23,44,9,0,6,21,71,0.441,11,5,59,0,0.337,1,2,"3","4"
"364","HACKETT","JUSTIN","Bryant","34","23",0.267,0.774,90,16,24,3,0,3,10,36,0.4,11,5,35,1,0.374,1,0,"0","1"
"365","ANDREW","ELCOCK","NJIT","45","41",0.263,0.75,133,24,35,1,3,1,16,45,0.338,21,14,24,0,0.412,2,9,"10","16"
"366","BRANDON","FISH","UMass Lowell","37","34",0.26,0.626,127,11,33,3,0,1,13,39,0.307,10,2,21,3,0.319,2,0,"0","0"
"367","CARSON","DUNKEL","UAlbany","40","32",0.259,0.819,112,20,29,7,1,2,15,44,0.393,31,3,38,1,0.426,2,0,"2","5"
"368","DANNY","ALVAREZ","UAlbany","30","20",0.259,0.722,85,7,22,7,1,0,11,31,0.365,7,6,14,2,0.357,0,0,"0","0"
"369","TY","SALLIE","NJIT","49","48",0.257,0.763,152,33,39,8,1,2,14,55,0.362,35,3,62,1,0.401,2,4,"20","24"
"370","CHRIS","FISHER","UAlbany","40","38",0.254,0.639,134,23,34,3,0,0,16,37,0.276,22,2,24,2,0.363,2,1,"1","2"
"371","COLIN","PLANTE","Maine","40","38",0.252,0.639,147,16,37,5,1,2,16,50,0.34,8,2,35,1,0.299,0,2,"6","7"
"372","PETOSA","CARMINE","Bryant","49","49",0.249,0.769,181,27,45,7,0,8,37,76,0.42,21,9,47,0,0.349,4,0,"1","1"
"373","KEVIN","PUTSKY","NJIT","49","49",0.246,0.649,191,20,47,7,0,3,28,63,0.33,18,3,33,2,0.319,1,1,"6","7"
"374","ANTHONY","SWENDA","UMBC","57","55",0.245,0.794,196,38,48,11,0,10,37,89,0.454,24,8,38,4,0.34,7,0,"5","6"
"375","ISAIAH","CORRY","Binghamton","37","34",0.242,0.596,99,16,24,4,0,0,16,28,0.283,11,0,22,2,0.313,2,8,"2","3"
"376","MATT","TOBIN","UMass Lowell","43","35",0.239,0.69,117,17,28,3,1,2,19,39,0.333,20,3,41,1,0.357,3,1,"1","1"
"377","HOSMER","JOHN","Bryant","43","43",0.229,0.793,157,22,36,11,0,9,29,74,0.471,16,7,57,3,0.322,3,0,"4","4"
"378","AUSTIN","FRANCIS","NJIT","36","30",0.229,0.587,109,12,25,1,1,1,8,31,0.284,11,1,18,2,0.303,1,1,"2","2"
"379","DAWSON","BARACANI","UMBC","56","56",0.228,0.642,167,27,38,5,0,1,19,46,0.275,28,11,36,2,0.367,4,3,"1","1"
"380","PHINNEY","JACKSON","Bryant","39","34",0.223,0.777,112,25,25,5,0,6,22,48,0.429,21,1,32,3,0.348,1,1,"0","0"
"381","TREY","BROWN","UMass Lowell","51","47",0.221,0.657,154,25,34,2,0,4,33,48,0.312,28,5,14,3,0.345,7,2,"4","4"
"382","KEVIN","REILLY","Binghamton","39","36",0.22,0.614,127,22,28,5,0,1,12,36,0.283,20,1,36,4,0.331,0,0,"0","0"
